question,answer,type,columns_used,column_types,sample_answer,dataset
What's the average Perceptions of corruption score among the countries in Sub-Saharan Africa with a Ladder score below 5 and a Social support score below 0.5?,0.7493706045,number,"['Regional indicator', 'Perceptions of corruption', 'Ladder score', 'Social support']","['category', 'number[double]', 'number[double]', 'number[double]']",0.871,034_World
What's the maximum Generosity score among the countries?,0.560663998,number,"['Regional indicator', 'Generosity']","['category', 'number[double]']",0.302,034_World
What's the minimum Social support score among the countries?,0.319459856,number,"['Regional indicator', 'Social support']","['category', 'number[double]']",0.288,034_World
Which region has the highest number of countries with a Ladder score above 7 and a Generosity score above 0.2?,Western Europe,category,"['Ladder score', 'Generosity', 'Regional indicator']","['number[double]', 'number[double]', 'category']",North America and ANZ,034_World
Which region accounts for the most countries with a Generosity score above 0.2?,Western Europe,category,"['Generosity', 'Regional indicator']","['number[double]', 'category']",Western Europe,034_World
In which region are the majority of countries with a Perceptions of corruption score below 0.5 located?,Western Europe,category,"['Perceptions of corruption', 'Regional indicator']","['number[double]', 'category']",Sub-Saharan Africa,034_World
In which region can you find the majority of countries with a Social support score above 0.7?,Western Europe,category,"['Social support', 'Regional indicator']","['number[double]', 'category']",Western Europe,034_World
Can you name the three regions that have the most countries with a Ladder score above 7 and a Generosity score above 0.2?,['Western Europe'],list[category],"['Ladder score', 'Generosity', 'Regional indicator']","['number[double]', 'number[double]', 'category']","['North America and ANZ', 'Western Europe', 'Latin America and Caribbean']",034_World
What are the top 3 regions with the most countries with a Generosity score above 0.2?,"['Western Europe', 'Southeast Asia', 'Sub-Saharan Africa']",list[category],"['Generosity', 'Regional indicator']","['number[double]', 'category']","['Western Europe', 'Sub-Saharan Africa', 'Central and Eastern Europe']",034_World
Identify the three highest Ladder scores from countries in Western Europe that have a Generosity score above 0.2 and a Social support score above 0.7.,"[7.504499912, 7.448900223, 7.164500237]",list[number],"['Ladder score', 'Generosity', 'Social support', 'Regional indicator']","['number[double]', 'number[double]', 'number[double]', 'category']","[7.5599, 7.5045, 7.487]",034_World
What are the top 3 Perceptions of corruption scores among the countries in Sub-Saharan Africa?,"[0.891806662, 0.861874342, 0.861330688]",list[number],"['Perceptions of corruption', 'Regional indicator']","['number[double]', 'category']","[0.933, 0.916, 0.915]",034_World
What are the top 3 Generosity scores among the countries in Western Europe?,"[0.263732493, 0.246944219, 0.214965805]",list[number],"['Generosity', 'Regional indicator']","['number[double]', 'category']","[0.302, 0.275, 0.263]",034_World
What are the top 3 Social support scores among the countries in Sub-Saharan Africa?,"[0.910357833, 0.852532268, 0.846880972]",list[number],"['Social support', 'Regional indicator']","['number[double]', 'category']","[0.983, 0.942, 0.941]",034_World
Which are the three lowest Ladder scores in Western Europe?,"[5.514999866, 5.53550005, 5.910900116]",list[number],"['Ladder score', 'Regional indicator']","['number[double]', 'category']","[4.784, 4.956, 5.094]",034_World
Which are the three lowest Perceptions of corruption scores in Sub-Saharan Africa?,"[0.183541179, 0.606934547, 0.619799435]",list[number],"['Perceptions of corruption', 'Regional indicator']","['number[double]', 'category']","[0.167, 0.179, 0.183]",034_World
Is the song with the highest rank from 1965?,True,boolean,"['Rank', 'Year']","['number[uint8]', 'number[uint16]']",False,035_Billboard
Does the song with the lowest rank contain the word 'love' in its lyrics?,True,boolean,"['Rank', 'Lyrics']","['number[uint8]', 'text']",False,035_Billboard
Is the artist of the song with the highest rank the same as the artist of the song with the lowest rank?,False,boolean,"['Rank', 'Artist']","['number[uint8]', 'category']",False,035_Billboard
Are there songs without lyrics?,True,boolean,['Lyrics'],['text'],False,035_Billboard
How many songs were produced in 1965?,100,number,['Year'],['number[uint16]'],2,035_Billboard
In which year was the song with the highest rank produced?,1965,number,"['Rank', 'Year']","['number[uint8]', 'number[uint16]']",2008,035_Billboard
What's the rank of the song with the longest lyrics?,19,number,"['Rank', 'Lyrics']","['number[uint8]', 'text']",64,035_Billboard
How many unique artists are there in the dataset?,2473,number,['Artist'],['category'],20,035_Billboard
Who is the artist of the song with the highest rank?,sam the sham and the pharaohs,category,"['Rank', 'Artist']","['number[uint8]', 'category']",alicia keys,035_Billboard
What is the title of the song with the lowest rank?,how sweet it is to be loved by you,category,"['Rank', 'Song']","['number[uint8]', 'category']",the end of the innocence,035_Billboard
Which song's lyrics contain the word 'love' the most times?,the way you love me,category,"['Song', 'Lyrics']","['category', 'text']",game of love,035_Billboard
What is the title of the song produced in the earliest year?,wooly bully,category,"['Song', 'Year']","['category', 'number[uint16]']",i like it like that,035_Billboard
Who are the artists of the top 5 ranked songs?,"['sam the sham and the pharaohs', 'ssgt barry sadler', 'the beach boys', 'the beatles', 'the beatles']",list[category],"['Rank', 'Artist']","['number[uint8]', 'category']","['alicia keys', 'christina aguilera', 'mariah carey', 'wayne fontana  the mindbenders', 'fall out boy']",035_Billboard
What are the titles of the 3 songs with the shortest lyrics?,"['girl youll be a woman soon', 'papa dont preach', 'breathe']",list[category],"['Song', 'Lyrics']","['category', 'text']","['all the small things', 'days go by', 'hurting each other']",035_Billboard
Which 4 songs were produced in the most recent year?,"['uptown funk', 'thinking out loud', 'see you again', 'trap queen']",list[category],"['Song', 'Year']","['category', 'number[uint16]']",['i cry'],035_Billboard
Who are the artists of the bottom 5 ranked songs?,"['marvin gaye', 'wilson pickett', 'neil diamond', 'jerry butler', 'the beatles']",list[category],"['Rank', 'Artist']","['number[uint8]', 'category']","['don henley', 'lady antebellum', 'the who', 'aerosmith', 'the dave clark five']",035_Billboard
What are the ranks of the top 3 songs with the most occurrences of the word 'love' in their lyrics?,"[64, 41, 28]",list[number],"['Rank', 'Lyrics']","['number[uint8]', 'text']","[11, 2, 5]",035_Billboard
What are the years of production of the bottom 4 ranked songs?,"[1965, 1966, 1967, 1968]",list[number],"['Rank', 'Year']","['number[uint8]', 'number[uint16]']","[1989, 2010, 1971, 1989]",035_Billboard
What are the ranks of the 2 songs produced in the earliest year?,"[1, 2]",list[number],"['Rank', 'Year']","['number[uint8]', 'number[uint16]']","[80, 34]",035_Billboard
What are the years of production of the top 5 songs with the longest lyrics?,"[1998, 2009, 2010, 2007, 2002]",list[number],"['Year', 'Lyrics']","['number[uint16]', 'text']","[2013, 1973, 1988, 1994, 2005]",035_Billboard
Is the song with the highest rank from 1965 by the Beatles?,False,boolean,"['Rank', 'Year', 'Artist']","['number[uint8]', 'number[uint16]', 'category']",False,035_Billboard
Which artist has the song with the highest rank in 1965?,sam the sham and the pharaohs,category,"['Rank', 'Year', 'Artist']","['number[uint8]', 'number[uint16]', 'category']",wayne fontana  the mindbenders,035_Billboard
Who are the artists of the top 3 songs in 1965?,"['sam the sham and the pharaohs', 'four tops', 'the beach boys']",list[category],"['Rank', 'Year', 'Artist']","['number[uint8]', 'number[uint16]', 'category']","['wayne fontana  the mindbenders', 'the dave clark five']",035_Billboard
What are the years of production of the top 3 songs with the word 'love' in their lyrics by the Beatles?,"[1967, 1965, 1966]",list[number],"['Year', 'Lyrics', 'Artist']","['number[uint16]', 'text', 'category']",[],035_Billboard
"Are there records where the 'count' exceeds 20,000?",True,boolean,['count'],['number[uint16]'],False,036_US
Do we have any records originating from 'Jefferson'?,True,boolean,['name_origin'],['category'],True,036_US
Are there destinations with the name 'Baldwin'?,True,boolean,['name_dest'],['category'],False,036_US
Are there records where the latitude of the destination is greater than 60?,True,boolean,['lat_dest'],['number[double]'],False,036_US
How many unique destinations are there in the dataset?,3219,number,['dest'],['number[uint32]'],20,036_US
"On average, how many times is each origin-destination pair reported?",67.7453798126951,number,['count'],['number[uint16]'],17.55,036_US
What's the highest count value in the dataset?,40580,number,['count'],['number[uint16]'],66,036_US
How many unique origin names are there in the dataset?,1904,number,['name_origin'],['category'],17,036_US
From which origin do we have the highest 'count' recorded?,,category,"['count', 'name_origin']","['number[uint16]', 'category']",18077,036_US
To which destination do we find the highest 'count' reported?,Los Angeles,category,"['count', 'name_dest']","['number[uint16]', 'category']",6001,036_US
Which origin has the lowest latitude?,Guáanica,category,"['lat_origin', 'name_origin']","['number[double]', 'category']",Okaloosa,036_US
Which destination has the highest longitude?,Fajardo,category,"['lon_dest', 'name_dest']","['number[double]', 'category']",Montgomery,036_US
What are the top 3 origins with the highest average count?,"['Los Angeles', 'New York', 'San Francisco']",list[category],"['name_origin', 'count']","['category', 'number[uint16]']","['18077', '48439', '36123']",036_US
Which are the 4 destinations with the lowest average count?,"['Kalawao', 'Loving', 'Kenedy', 'Wheatland']",list[category],"['name_dest', 'count']","['category', 'number[uint16]']","[48113, 12127, 37115, 39041]",036_US
List the 5 origins with the highest average latitude values.,"['North Slope', 'Northwest Arctic', 'Yukon-Koyukuk', 'Nome', 'Fairbanks North Star']",list[category],"['name_origin', 'lat_origin']","['category', 'number[double]']","['53063', '53033', '53045', '55097', '36045']",036_US
Which 2 origins have the lowest average longitude values?,"['Aleutians West', 'Nome']",list[category],"['name_origin', 'lon_origin']","['category', 'number[double]']","['53045', '6013']",036_US
List the top 5 recorded count values.,"[40580, 39899, 38430, 28524, 24452]",list[number],['count'],['number[uint16]'],"[66, 35, 32, 30, 25]",036_US
What are the 3 highest latitude values for destinations?,"[69.42718361, 69.42718361, 69.42718361]",list[number],['lat_dest'],['number[double]'],"[46.39399576, 46.27467409, 43.15268452]",036_US
Rank the lowest 4 longitude values for origins.,"[-167.08526, -167.08526, -167.08526, -167.08526]",list[number],['lon_origin'],['number[double]'],"[-123.1229957, -121.8986791, -121.7629538, -119.6502747]",036_US
Which 6 destination IDs have the highest average counts?,"[6037, 36061, 48201, 6059, 6071, 6085]",list[number],"['dest', 'count']","['number[uint32]', 'number[uint16]']","[6001, 20045, 36055, 13035, 26103, 55003]",036_US
Are there talks with more than a million views?,True,boolean,"['[', ""'"", 'v', 'i', 'e', 'w', 's', ""'"", ']']",['number[uint32]'],True,037_Ted
Is there a talk by 'Elon Musk'?,True,boolean,"['[', ""'"", 's', 'p', 'e', 'a', 'k', 'e', 'r', '_', '1', ""'"", ']']",['category'],False,037_Ted
Are there any TEDx events included?,True,boolean,"['[', ""'"", 'e', 'v', 'e', 'n', 't', ""'"", ']']",['category'],True,037_Ted
Are there talks available in more than 10 languages?,True,boolean,"['[', ""'"", 'a', 'v', 'a', 'i', 'l', 'a', 'b', 'l', 'e', '_', 'l', 'a', 'n', 'g', ""'"", ']']",['list[category]'],True,037_Ted
How many unique speakers are there in the dataset?,3274,number,"['[', ""'"", 's', 'p', 'e', 'a', 'k', 'e', 'r', '_', '1', ""'"", ']']",['category'],20,037_Ted
What's the average number of views for the talks?,2148005.5737827714,number,"['[', ""'"", 'v', 'i', 'e', 'w', 's', ""'"", ']']",['number[uint32]'],1502352.85,037_Ted
What's the maximum duration of a talk (in seconds)?,3922,number,"['[', ""'"", 'd', 'u', 'r', 'a', 't', 'i', 'o', 'n', ""'"", ']']",['number[uint16]'],1523,037_Ted
How many talks have more than 500 comments?,186,number,"['[', ""'"", 'c', 'o', 'm', 'm', 'e', 'n', 't', 's', ""'"", ']']",['number[UInt16]'],2,037_Ted
Which event has the highest average views?,TEDxPuget Sound,category,"['[', ""'"", 'e', 'v', 'e', 'n', 't', ""'"", ',', ' ', ""'"", 'v', 'i', 'e', 'w', 's', ""'"", ']']","['category', 'number[uint32]']",TEDxRainier,037_Ted
Which speaker's talk has the most comments?,Richard Dawkins,category,"['[', ""'"", 's', 'p', 'e', 'a', 'k', 'e', 'r', '_', '1', ""'"", ',', ' ', ""'"", 'c', 'o', 'm', 'm', 'e', 'n', 't', 's', ""'"", ']']","['category', 'number[UInt16]']",{0: 'Suzana Herculano-Houzel'},037_Ted
Which talk's title has the least views?,Por qué necesitamos proteger el alta mar,category,"['[', ""'"", 't', 'i', 't', 'l', 'e', ""'"", ',', ' ', ""'"", 'v', 'i', 'e', 'w', 's', ""'"", ']']","['text', 'number[uint32]']",Online predators spread fake porn of me. Here's how I fought back,037_Ted
In which event was the longest talk held?,Countdown,category,"['[', ""'"", 'e', 'v', 'e', 'n', 't', ""'"", ',', ' ', ""'"", 'd', 'u', 'r', 'a', 't', 'i', 'o', 'n', ""'"", ']']","['category', 'number[uint16]']",TED1984,037_Ted
Which are the top 4 events with the highest average number of comments?,"['TEDxPuget Sound', 'TEDxHouston', 'TEDxFiDiWomen', 'TEDxUW']",list[category],"['[', ""'"", 'e', 'v', 'e', 'n', 't', ""'"", ',', ' ', ""'"", 'c', 'o', 'm', 'm', 'e', 'n', 't', 's', ""'"", ']']","['category', 'number[UInt16]']","['TEDGlobal 2013', 'TED2016', 'TEDxRainier', 'TEDIndia 2009']",037_Ted
List the top 3 most frequent speakers in the dataset.,"['Alex Gendler', 'Iseult Gillespie', 'Emma Bryce']",list[category],"[""'"", 's', 'p', 'e', 'a', 'k', 'e', 'r', '_', '1', ""'""]",['category'],"[""{0: 'Miwa Matreyek'}"", ""{0: 'Thomas Pogge'}"", ""{0: 'Asher Hasan'}""]",037_Ted
Which 5 events have the shortest average talk durations?,"['TEDxConcorde', 'Small Thing Big Idea', 'The TED Interview', 'TEDxConcordiaUPortland', 'The Way We Work']",list[category],"['[', ""'"", 'e', 'v', 'e', 'n', 't', ""'"", ',', ' ', ""'"", 'd', 'u', 'r', 'a', 't', 'i', 'o', 'n', ""'"", ']']","['category', 'number[uint16]']","['TEDIndia 2009', 'TED2007', 'TED-Ed', 'TEDGlobal 2017', 'TEDxRainier']",037_Ted
List 2 events with the most number of talks.,"['TED-Ed', 'TED2018']",list[category],"[""'"", 'e', 'v', 'e', 'n', 't', ""'""]",['category'],"['TEDGlobal 2010', 'TEDxCanberra']",037_Ted
What are the top 4 most viewed talks' view counts?,"[65051954, 57074270, 56932551, 49730580]",list[number],"['[', ""'"", 'v', 'i', 'e', 'w', 's', ""'"", ']']",['number[uint32]'],"[3492293, 3082440, 2478498, 2438526]",037_Ted
List the 3 shortest talk durations in the dataset.,"[60, 78, 78]",list[number],"['[', ""'"", 'd', 'u', 'r', 'a', 't', 'i', 'o', 'n', ""'"", ']']",['number[uint16]'],"[268, 279, 287]",037_Ted
Which 5 talks have the highest number of comments?,"[6449.0, 4931.0, 3424.0, 3006.0, 2984.0]",list[number],"['[', ""'"", 'c', 'o', 'm', 'm', 'e', 'n', 't', 's', ""'"", ']']",['number[UInt16]'],"['What is so special about the human brain?', 'The case for optimism on climate change', 'The linguistic genius of babies', 'My message of peace from Pakistan', 'Glorious visions in animation and performance']",037_Ted
List the view counts of the 6 least viewed talks.,"[0, 0, 0, 0, 0, 0]",list[number],"['[', ""'"", 'v', 'i', 'e', 'w', 's', ""'"", ']']",['number[uint32]'],"[195172, 310677, 451421, 477710, 779329, 887739]",037_Ted
Is it true that the oldest person in the dataset has a stroke?,True,boolean,"['age', 'stroke']","['number[UInt8]', 'number[uint8]']",False,038_Stroke
Do all smokers have hypertension?,False,boolean,"['smoking_status', 'hypertension']","['category', 'number[uint8]']",False,038_Stroke
Are all people with heart diseases married?,False,boolean,"['heart_disease', 'ever_married']","['number[uint8]', 'category']",True,038_Stroke
Is the average glucose level higher for males than females?,True,boolean,"['gender', 'avg_glucose_level']","['category', 'number[double]']",False,038_Stroke
How many people in the dataset have a stroke?,249,number,['stroke'],['number[uint8]'],1,038_Stroke
What is the average age of people who smoke?,47.09632446134347,number,"['smoking_status', 'age']","['category', 'number[UInt8]']",50.333333333333336,038_Stroke
What is the highest glucose level recorded in the dataset?,271.74,number,['avg_glucose_level'],['number[double]'],143.43,038_Stroke
How many unique 'work_type' categories are there in the dataset?,5,number,['work_type'],['category'],4,038_Stroke
What is the most common work type among stroke patients?,Private,category,"['stroke', 'work_type']","['number[uint8]', 'category']",Self-employed,038_Stroke
What is the smoking status of the youngest person in the dataset?,Unknown,category,"['age', 'smoking_status']","['number[UInt8]', 'category']",Unknown,038_Stroke
What is the residence type of the person with the highest BMI?,Rural,category,"['bmi', 'Residence_type']","['number[double]', 'category']",Urban,038_Stroke
What is the gender of the person with the lowest glucose level?,Female,category,"['avg_glucose_level', 'gender']","['number[double]', 'category']",Female,038_Stroke
What are the top 3 work types among people with heart diseases?,"['Private', 'Self-employed', 'Govt_job']",list[category],"['heart_disease', 'work_type']","['number[uint8]', 'category']",['Private'],038_Stroke
What are the 5 most common smoking statuses among people with a stroke?,"['never smoked', 'formerly smoked', 'Unknown', 'smokes']",list[category],"['stroke', 'smoking_status']","['number[uint8]', 'category']",['Unknown'],038_Stroke
What are the top 4 residence types of people with hypertension?,"['Rural', 'Urban']",list[category],"['hypertension', 'Residence_type']","['number[uint8]', 'category']",['Rural'],038_Stroke
What are the top 2 work types among people who have never married?,"['Private', 'children']",list[category],"['ever_married', 'work_type']","['category', 'category']","['children', 'Self-employed']",038_Stroke
What are the top 5 ages of people with strokes?,"[82.0, 82.0, 82.0, 82.0, 82.0]",list[number],"['stroke', 'age']","['number[uint8]', 'number[UInt8]']",[43.0],038_Stroke
What are the 3 lowest BMIs among people who smoke?,"[15.7, 16.7, 16.7]",list[number],"['smoking_status', 'bmi']","['category', 'number[double]']","[26.8, 34.1, 35.6]",038_Stroke
What are the top 4 glucose levels of people who have heart diseases?,"[271.74, 254.63, 254.6, 252.72]",list[number],"['heart_disease', 'avg_glucose_level']","['number[uint8]', 'number[double]']",[62.2],038_Stroke
What are the 6 highest ages of people who have never married?,"[82.0, 82.0, 82.0, 82.0, 82.0, 82.0]",list[number],"['ever_married', 'age']","['category', 'number[UInt8]']","[51.0, 42.0, 31.0, 26.0, 10.0, 8.0]",038_Stroke
Are there any reflections with more than 10 sentences?,True,boolean,['num_sentence'],['number[uint8]'],False,039_Happy
Is there a reflection from 'USA' with over 5 sentences?,True,boolean,"['country', 'num_sentence']","['category', 'number[uint8]']",False,039_Happy
Are there any reflections categorized as 'affection'?,True,boolean,['predicted_category'],['category'],True,039_Happy
Are there any married individuals who reflected on 'exercise'?,True,boolean,"['marital', 'predicted_category']","['category', 'category']",False,039_Happy
How many unique reflection periods are there?,2,number,['reflection_period'],['category'],2,039_Happy
"On average, how many sentences are there in the reflections?",1.3407668971005122,number,['num_sentence'],['number[uint8]'],1.05,039_Happy
What's the highest age of an individual in the dataset?,233.0,number,['age'],['number[UInt8]'],54.0,039_Happy
How many reflections are from 'IND'?,16729,number,['country'],['category'],2,039_Happy
Which country has the highest average number of sentences in their reflections?,UKR,category,"['country', 'num_sentence']","['category', 'number[uint8]']",USA,039_Happy
Which gender has the most reflections categorized as 'affection'?,f,category,"['gender', 'predicted_category']","['category', 'category']",f,039_Happy
From which country is the oldest individual who reflected?,USA,category,"['country', 'age']","['category', 'number[UInt8]']",USA,039_Happy
Which marital status has the most reflections on 'bonding'?,single,category,"['marital', 'predicted_category']","['category', 'category']",single,039_Happy
Which are the top 3 countries with the highest average number of sentences in their reflections?,"['UKR', 'CRI', 'HKG']",list[category],"['country', 'num_sentence']","['category', 'number[uint8]']","['USA', 'IND']",039_Happy
List the 4 most common predicted categories in the dataset.,"['affection', 'achievement', 'enjoy_the_moment', 'bonding']",list[category],['predicted_category'],['category'],"['affection', 'achievement', 'enjoy_the_moment', 'nature']",039_Happy
Which 5 countries have the youngest average age of reflectors?,"['KAZ', 'ALB', 'LKA', 'MAR', 'SLV']",list[category],"['country', 'age']","['category', 'number[UInt8]']","['IND', 'USA']",039_Happy
List 2 genders with the most number of reflections.,"['m', 'f']",list[category],['gender'],['category'],"['f', 'm']",039_Happy
What are the top 4 reflection IDs with the most number of sentences?,"[455, 455, 508, 455]",list[number],"['wid', 'num_sentence']","['number[uint16]', 'number[uint8]']","[5032, 8129, 2634, 645]",039_Happy
List the 3 highest ages in the dataset.,"[233.0, 233.0, 233.0]",list[number],['age'],['number[UInt8]'],"[54.0, 49.0, 48.0]",039_Happy
Which 5 reflection IDs have the least number of sentences?,"[2053, 2, 1936, 6227, 45]",list[number],"['wid', 'num_sentence']","['number[uint16]', 'number[uint8]']","[8129, 2634, 645, 783, 13285]",039_Happy
List the age of the 6 youngest individuals in the dataset.,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",list[number],['age'],['number[UInt8]'],"[22.0, 22.0, 24.0, 24.0, 24.0, 26.0]",039_Happy
Is it true that the youngest participant has met their match?,False,boolean,"['age', 'match']","['number[UInt8]', 'number[uint8]']",False,040_Speed
Do all people who got a match have the same race as their partner?,False,boolean,"['match', 'samerace']","['number[uint8]', 'number[uint8]']",False,040_Speed
Are all participants who expected more than 5 matches male?,True,boolean,"['expected_num_matches', 'gender']","['number[UInt8]', 'category']",True,040_Speed
Is the average age of participants who got a match higher than those who didn't?,False,boolean,"['match', 'age']","['number[uint8]', 'number[UInt8]']",True,040_Speed
How many participants had a match?,1380,number,['match'],['number[uint8]'],4,040_Speed
What is the average age of participants who have the same race as their partner?,26.390236506973924,number,"['samerace', 'age']","['number[uint8]', 'number[UInt8]']",28.0,040_Speed
What is the highest number of matches expected by any participant in the dataset?,18.0,number,['expected_num_matches'],['number[UInt8]'],9.0,040_Speed
How many unique 'race' categories are there in the dataset?,5,number,['race'],['category'],3,040_Speed
What is the most common race among participants who got a match?,european/caucasian-american,category,"['match', 'race']","['number[uint8]', 'category']",european/caucasian-american,040_Speed
What is the gender of the youngest participant in the dataset?,male,category,"['age', 'gender']","['number[UInt8]', 'category']",female,040_Speed
What is the race of the participant with the highest number of expected matches?,other,category,"['expected_num_matches', 'race']","['number[UInt8]', 'category']",asian/pacific islander/asian-american,040_Speed
What is the wave of the participant with the youngest age?,5,category,"['age', 'wave']","['number[UInt8]', 'number[uint8]']",13,040_Speed
What are the top 3 waves among people who got a match?,"[21, 4, 11]",list[category],"['match', 'wave']","['number[uint8]', 'number[uint8]']","[21, 7, 7]",040_Speed
What are the 5 most common races among people who expected more than 5 matches?,"['european/caucasian-american', 'asian/pacific islander/asian-american', 'black/african american', 'latino/hispanic american', 'other']",list[category],"['expected_num_matches', 'race']","['number[UInt8]', 'category']","['european/caucasian-american', 'asian/pacific islander/asian-american']",040_Speed
What are the top 4 waves of people who have the same race as their partner?,"[15, 9, 21, 11]",list[category],"['samerace', 'wave']","['number[uint8]', 'number[uint8]']","[7, 4, 15, 11]",040_Speed
What are the top 2 genders among people who expected no match?,"['female', 'male']",list[category],"['expected_num_matches', 'gender']","['number[UInt8]', 'category']",['female'],040_Speed
What are the top 5 ages of participants who got a match?,"[42.0, 42.0, 42.0, 42.0, 39.0]",list[number],"['match', 'age']","['number[uint8]', 'number[UInt8]']","[31.0, 28.0, 27.0, 23.0]",040_Speed
What are the 3 lowest numbers of matches expected by people who got a match?,"[0.0, 0.0, 0.0]",list[number],"['match', 'expected_num_matches']","['number[uint8]', 'number[UInt8]']","[1.0, 1.0, 1.0]",040_Speed
What are the top 4 ages of people who have the same race as their partner?,"[55.0, 55.0, 55.0, 42.0]",list[number],"['samerace', 'age']","['number[uint8]', 'number[UInt8]']","[34.0, 31.0, 28.0, 24.0]",040_Speed
What are the 6 youngest ages of participants who expected no match?,"[18.0, 18.0, 18.0, 18.0, 18.0, 18.0]",list[number],"['expected_num_matches', 'age']","['number[UInt8]', 'number[UInt8]']",[23.0],040_Speed
Are there any tweets with more than 10 retweets?,True,boolean,['retweet_count'],['number[uint8]'],False,041_Airline
Is there a negative sentiment tweet from 'United' airline?,True,boolean,"['airline', 'airline_sentiment']","['category', 'category']",True,041_Airline
Are there any tweets categorized with 'Late Flight' as the negative reason?,True,boolean,['negativereason'],['category'],True,041_Airline
Are there any tweets from 'Eastern Time (US & Canada)' timezone with positive sentiment?,True,boolean,"['user_timezone', 'airline_sentiment']","['category', 'category']",True,041_Airline
How many unique user timezones are there in the dataset?,85,number,['user_timezone'],['category'],6,041_Airline
"On average, what is the sentiment confidence of the tweets?",0.9001688524590163,number,['airline_sentiment_confidence'],['number[double]'],0.887105,041_Airline
What's the maximum number of retweets a tweet has received?,44,number,['retweet_count'],['number[uint8]'],1,041_Airline
How many tweets are from 'Virgin America' airline?,504,number,['airline'],['category'],0,041_Airline
Which airline has the highest average sentiment confidence?,US Airways,category,"['airline', 'airline_sentiment_confidence']","['category', 'number[double]']",American,041_Airline
Which negative reason is most commonly associated with 'American' airline?,Customer Service Issue,category,"['airline', 'negativereason']","['category', 'category']",Lost Luggage,041_Airline
From which timezone is the tweet with the highest sentiment confidence?,Eastern Time (US & Canada),category,"['user_timezone', 'airline_sentiment_confidence']","['category', 'number[double]']",Eastern Time (US & Canada),041_Airline
Which airline has the most tweets with negative sentiment?,United,category,"['airline', 'airline_sentiment']","['category', 'category']",Delta,041_Airline
Which are the top 3 airlines with the highest average sentiment confidence?,"['US Airways', 'American', 'United']",list[category],"['airline', 'airline_sentiment_confidence']","['category', 'number[double]']","['American', 'Delta', 'United']",041_Airline
List the 4 most common negative reasons in the dataset.,"['Customer Service Issue', 'Late Flight', 'Can't Tell', 'Cancelled Flight']",list[category],['negativereason'],['category'],"[""Can't Tell"", 'Cancelled Flight', 'Customer Service Issue', 'Late Flight']",041_Airline
Which 5 user timezones have the most number of tweets?,"['Eastern Time (US & Canada)', 'Central Time (US & Canada)', 'Pacific Time (US & Canada)', 'Quito', 'Atlantic Time (Canada)']",list[category],['user_timezone'],['category'],"['Eastern Time (US & Canada)', 'Pacific Time (US & Canada)', 'Alaska', 'Atlantic Time (Canada)', 'Amsterdam']",041_Airline
List 2 airlines with the least number of tweets in the dataset.,"['Virgin America', 'Delta']",list[category],['airline'],['category'],"['American', 'United']",041_Airline
What are the top 4 tweet IDs with the highest sentiment confidence?,"[570306133677760513, 570301031407624196, 570300817074462722, 570300767074181121]",list[number],"['tweet_id', 'airline_sentiment_confidence']","['number[int64]', 'number[double]']","[569731104070115329, 569263373092823040, 568818669024907264, 567775864679456768]",041_Airline
List the 3 highest retweet counts in the dataset.,"[44, 32, 31]",list[number],['retweet_count'],['number[uint8]'],"[1, 0, 0]",041_Airline
Which 5 tweet IDs have the lowest sentiment confidence?,"[569972097453137920, 568092537786748928, 568028183267639297, 568993773277069312, 569227372223811584]",list[number],"['tweet_id', 'airline_sentiment_confidence']","['number[int64]', 'number[double]']","[569332237138841600, 568975192615223296, 568526521910079488, 569184833361936387, 568884344221081600]",041_Airline
List the sentiment confidence of the 6 most retweeted tweets in the dataset.,"[1.0, 1.0, 1.0, 0.6593, 1.0, 0.6940000000000001]",list[number],"['airline_sentiment_confidence', 'retweet_count']","['number[double]', 'number[uint8]']","[1.0, 1.0, 1.0, 1.0, 0.6625, 1.0]",041_Airline
Is it true that the student with the highest number of absences is from a rural area?,True,boolean,"['absences', 'address']","['number[uint8]', 'category']",False,042_Predict
Are all students who are in a romantic relationship older than 17?,False,boolean,"['romantic', 'age']","['category', 'number[uint8]']",False,042_Predict
Is the average final grade (G3) of students who consume a lot of alcohol (Dalc > 2) lower than those who don't?,True,boolean,"['Dalc', 'G3']","['number[uint8]', 'number[uint8]']",False,042_Predict
Do all students who have both parents at home (Pstatus = 'T') have more than 3 free time after school (freetime > 3)?,False,boolean,"['Pstatus', 'freetime']","['category', 'number[uint8]']",False,042_Predict
How many students have their mother's education (Medu) level above 3?,131,number,['Medu'],['number[uint8]'],3,042_Predict
What is the average age of students who want to take higher education (higher = 'yes')?,16.634666666666668,number,"['higher', 'age']","['category', 'number[uint8]']",16.944444444444443,042_Predict
What is the highest number of absences among students?,75,number,['absences'],['number[uint8]'],18,042_Predict
How many unique schools are there in the dataset?,2,number,['school'],['category'],2,042_Predict
What is the most common mother's job among students who want to take higher education?,other,category,"['higher', 'Mjob']","['category', 'category']",other,042_Predict
What is the gender of the student with the highest final grade (G3)?,M,category,"['G3', 'sex']","['number[uint8]', 'category']",M,042_Predict
What is the school of the student with the highest number of absences?,GP,category,"['absences', 'school']","['number[uint8]', 'category']",GP,042_Predict
What is the family size of the student with the highest final grade (G3)?,GT3,category,"['G3', 'famsize']","['number[uint8]', 'category']",GT3,042_Predict
